id;titulo;endereco;taxa;Area;quartos;suites;banheiros;vagas;preco;;;;;
54042006;Casa com 4 Quartos à Venda, 354m²;Ponta Negra, Natal - RN;;354;4;2;1;6;R$ 750.000;;;;;
54042037;Lote/Terreno com  Quarto à Venda, 3337m²;Ponta Negra, Natal - RN;;3337;1;--;1;--;R$ 5.500.000;;;;;
54042041;Casa com 3 Quartos à Venda, 267m²;Candelária, Natal - RN;;267;3;1;2;6;R$ 730.000;;;;;
54042047;Casa com 4 Quartos à Venda, 300m²;Capim Macio, Natal - RN;;300;4;4;2;4;R$ 690.000;;;;;
54042051;Casa com 6 Quartos à Venda, 415m²;Capim Macio, Natal - RN;;415;6;3;1;4;R$ 790.000;;;;;
54042052;Casa com 5 Quartos à Venda, 518m²;Capim Macio, Natal - RN;;518;5;3;3;3;R$ 1.600.000;;;;;
54042058;Casa com 4 Quartos à Venda, 470m²;Capim Macio, Natal - RN;;470;4;3;2;4;R$ 800.000;;;;;
54042060;Flat com 2 Quartos à Venda, 58m²;Ponta Negra, Natal - RN;R$ 700;58;2;--;1;1;R$ 220.000;;;;;
54042066;Cobertura com 3 Quartos à Venda, 300m²;Petrópolis, Natal - RN;;300;3;2;1;3;R$ 1.270.000;;;;;
54042069;Casa com 4 Quartos à Venda, 350m²;Capim Macio, Natal - RN;;350;4;2;1;4;R$ 799.000;;;;;
54042072;Casa com 3 Quartos à Venda, 300m²;Lagoa Nova, Natal - RN;;300;3;2;1;3;R$ 380.000;;;;;
54042075;Casa com 4 Quartos à Venda, 398m²;Capim Macio, Natal - RN;;398;4;3;1;4;R$ 900.000;;;;;
54042083;Flat com  Quarto à Venda, 30m²;Ponta Negra, Natal - RN;R$ 900;30;1;--;1;1;R$ 250.000;;;;;
54042094;Casa com 3 Quartos à Venda, 360m²;Capim Macio, Natal - RN;;360;3;1;2;2;R$ 429.000;;;;;
54743918;Flat com  Quarto à Venda/Aluguel 26m²;Avenida Engenheiro Roberto Freire, 9050 - Ponta Negra, Natal - RN;;26;1;--;1;1;R$ 120.000;;;;;
54812096;Cobertura com 3 Quartos à Venda/Aluguel 150m²;Avenida Engenheiro Roberto Freire, 00 - Ponta Negra, Natal - RN;;150;3;2;3;1;R$ 5.000.000;;;;;
54812164;Casa com 6 Quartos à Venda/Aluguel 250m²;Rua Hélio Galvão, 00 - Ponta Negra, Natal - RN;;250;6;6;6;4;R$ 2.500.000;;;;;
54838389;Apartamento com 4 Quartos à Venda, 238m²;Tirol, Natal - RN;;238;4;4;1;3;R$ 1.100.000;;;;;
54838390;Apartamento com 2 Quartos à Venda, 60m²;Ponta Negra, Natal - RN;R$ 200;60;2;1;1;2;R$ 300.000;;;;;
54838394;Imóvel comercial com 3 Quartos para Venda/Aluguel 400m²;Capim Macio, Natal - RN;;400;3;1;1;6;R$ 699.000;;;;;
54838395;Apartamento com 3 Quartos à Venda, 192m²;Lagoa Nova, Natal - RN;;192;3;3;1;3;R$ 2.200.000;;;;;
54838397;Apartamento com 3 Quartos à Venda, 116m²;Ponta Negra, Natal - RN;;116;3;3;1;2;R$ 650.000;;;;;
54844284;Casa de condomínio com 6 Quartos à Venda/Aluguel 500m²;Rua Jaguarari, 500 - Candelária, Natal - RN;R$ 1.100;500;6;5;8;8;R$ 2.500.000;;;;;
54896242;Casa de condomínio com 6 Quartos à Venda/Aluguel 800m²;Rua Jaguarari, 500 - Candelária, Natal - RN;R$ 1.500;800;6;6;8;6;R$ 2.800.000;;;;;
54896256;Casa de condomínio com 8 Quartos à Venda, 600m²;Rua Jaguarari, 4980 - Candelária, Natal - RN;R$ 1.500;600;8;--;10;8;R$ 2.000.000;;;;;
55058511;Lote/Terreno com  Quarto à Venda, 1800m²;Pajuçara, Natal - RN;;1800;1;--;1;--;R$ 360.000;;;;;
55211294;Casa com 5 Quartos à Venda, 397m²;Ponta Negra, Natal - RN;;397;5;3;1;3;R$ 1.850.000;;;;;
55251661;Apartamento com 3 Quartos à Venda, 99m²;Capim Macio, Natal - RN;R$ 770;99;3;2;1;2;R$ 450.000;;;;;
